"BehaviorSpace results (NetLogo 6.2.0)"
"code (4).nlogo"
"WaitingTime"
"01/28/2021 15:45:31:492 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","distancing?","spread-decease?","threshold-attendance","numberOfPeople","max-patience","r-distance","[step]","waitingTime"
"2","true","false","6","121","50","1.5","46","0"
"3","true","false","6","121","50","1.5","48","0"
"6","true","false","6","121","100","1.5","61","0"
"5","true","false","6","121","100","1.5","55","0"
"4","true","false","6","121","100","1.5","65","0"
"2","true","false","6","121","50","1.5","47","0"
"3","true","false","6","121","50","1.5","49","0"
"1","true","false","6","121","50","1.5","48","0"
"6","true","false","6","121","100","1.5","62","0"
"4","true","false","6","121","100","1.5","66","0"
"5","true","false","6","121","100","1.5","56","0"
"6","true","false","6","121","100","1.5","63","0"
"4","true","false","6","121","100","1.5","67","0"
"2","true","false","6","121","50","1.5","48","0"
"1","true","false","6","121","50","1.5","49","0"
"5","true","false","6","121","100","1.5","57","0"
"3","true","false","6","121","50","1.5","50","76"
"4","true","false","6","121","100","1.5","68","0"
"2","true","false","6","121","50","1.5","49","0"
"5","true","false","6","121","100","1.5","58","0"
"6","true","false","6","121","100","1.5","64","0"
"1","true","false","6","121","50","1.5","50","73"
"4","true","false","6","121","100","1.5","69","0"
"2","true","false","6","121","50","1.5","50","43"
"5","true","false","6","121","100","1.5","59","0"
"6","true","false","6","121","100","1.5","65","0"
"3","true","false","6","121","50","1.5","51","76"
"1","true","false","6","121","50","1.5","51","74"
"4","true","false","6","121","100","1.5","70","0"
"6","true","false","6","121","100","1.5","66","0"
"2","true","false","6","121","50","1.5","51","43"
"5","true","false","6","121","100","1.5","60","0"
"3","true","false","6","121","50","1.5","52","76"
"4","true","false","6","121","100","1.5","71","0"
"6","true","false","6","121","100","1.5","67","0"
"1","true","false","6","121","50","1.5","52","76"
"5","true","false","6","121","100","1.5","61","0"
"2","true","false","6","121","50","1.5","52","43"
"4","true","false","6","121","100","1.5","72","0"
