BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,
code (4).nlogo,,,,,,,,,,
masks2,,,,,,,,,,
01/29/2021 13:41:21:650 +0100,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,
-16,16,-16,16,,,,,,,
[run number],distancing?,percent-wearing-masks,threshold-attendance,numberOfPeople,spread-decease?,probability-spreading,max-patience,r-distance,[step],"count people with [status = ""infected""]"
4,TRUE,50,6,121,TRUE,0.5,100,1.5,60,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,62,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,54,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,62,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,64,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,61,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,63,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,63,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,65,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,55,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,62,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,64,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,64,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,66,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,56,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,65,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,63,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,65,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,67,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,57,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,64,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,68,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,58,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,66,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,65,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,69,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,66,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,70,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,67,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,71,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,68,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,67,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,72,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,69,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,66,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,68,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,59,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,73,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,67,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,60,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,69,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,70,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,61,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,68,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,70,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,74,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,62,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,71,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,71,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,63,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,72,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,64,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,73,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,69,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,75,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,74,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,65,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,70,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,72,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,75,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,71,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,76,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,66,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,76,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,73,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,77,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,77,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,78,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,72,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,79,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,78,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,73,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,74,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,67,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,75,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,68,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,80,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,76,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,81,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,69,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,77,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,82,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,74,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,70,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,83,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,78,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,79,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,84,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,85,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,79,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,75,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,80,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,71,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,81,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,72,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,76,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,80,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,82,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,73,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,77,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,83,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,74,2
8,TRUE,100,6,121,TRUE,0.5,100,1.5,81,2
4,TRUE,50,6,121,TRUE,0.5,100,1.5,78,2
7,TRUE,100,6,121,TRUE,0.5,100,1.5,86,2
6,TRUE,50,6,121,TRUE,0.5,100,1.5,75,2
5,TRUE,50,6,121,TRUE,0.5,100,1.5,84,2
